assumption_id,category,variable_name,description,unit,baseline_value,low_value,high_value,distribution,evidence_class,confidence_score,source_url,source_date,scenario_scope,research_status,notes
A001,capital,centralized_factory_capital_cost,Initial capital cost for centralized automated production,USD,,,,,,,,,centralized,unresearched,
A002,capital,modular_factory_capital_cost,Initial capital cost for modular localized production,USD,,,,,,,,,modular,unresearched,
A003,energy,energy_kwh_per_cell,Electricity consumed per manufactured battery cell,kWh_per_cell,,,,,,,,,both,unresearched,
A004,labor,labor_hours_per_kwh,Human labor required per kWh of battery capacity,hours_per_kWh,,,,,,,,,both,unresearched,
A005,labor,hourly_labor_cost,Total hourly labor cost including benefits,USD_per_hour,,,,,,,,,both,unresearched,
A006,labor,annual_attrition_rate,Annual employee turnover rate,percent,,,,,,,,,both,unresearched,
A007,labor,training_cycle_days,Time required to train a production worker,days,,,,,,,,,modular,unresearched,
A008,quality,fatigue_defect_multiplier,Increase in defect probability caused by worker fatigue,multiplier,,,,,,,,,modular,unresearched,
A009,quality,first_pass_yield,Percentage of units passing inspection without rework,percent,,,,,,,,,both,unresearched,
A010,quality,scrap_rate,Percentage of production discarded as unusable,percent,,,,,,,,,both,unresearched,
A011,flexibility,reconfiguration_days,Production downtime required to change cell design,days,,,,,,,,,both,unresearched,
A012,resilience,contamination_recovery_hours,Time required to recover from contamination,hours,,,,,,,,,both,unresearched,
A013,materials,lithium_carbonate_price,Lithium carbonate market price,USD_per_tonne,,,,,,,,,both,unresearched,
A014,regulation,tariff_rate,Import tariff applied to vehicles or batteries,percent,,,,,,,,,both,unresearched,
A015,logistics,freight_cost_per_vehicle,International shipping cost allocated to one vehicle,USD_per_vehicle,,,,,,,,,both,unresearched,
A016,supply_chain,supplier_failure_probability,Probability of a critical supplier disruption,probability,,,,,,,,,both,unresearched,
A017,bom,cells_per_pack,Number of battery cells contained in one vehicle pack,count,,,,,,,,,both,unresearched,
A018,bom,pack_capacity_kwh,Usable energy capacity of one battery pack,kWh,,,,,,,,,both,unresearched,
A019,bom,vehicle_bom_excluding_battery,Vehicle material cost excluding the battery pack,USD_per_vehicle,,,,,,,,,both,unresearched,
A020,supply_chain,vertical_integration_share,Share of major components produced internally,percent,,,,,,,,,both,unresearched,
